id,created_at,Title,Collection_Id,Description,Views,Img
41,2024-08-07 21:50:55.915328+00,Ecología,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
42,2024-08-07 21:50:55.915328+00,Economía,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
43,2024-08-07 21:50:55.915328+00,Educación,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
44,2024-08-07 21:50:55.915328+00,Educación de los hijos,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
45,2024-08-07 21:50:55.915328+00,Enciclopedias,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
46,2024-08-07 21:50:55.915328+00,Ensayo,1,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
47,2024-08-07 21:50:55.915328+00,Escritura,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
48,2024-08-07 21:50:55.915328+00,Espiritualidad,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
49,2024-08-07 21:50:55.915328+00,Experimentos,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
50,2024-08-07 21:50:55.915328+00,Filosofía,1,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
51,2024-08-07 21:50:55.915328+00,Futbol,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
